well,gfp_mcherry,gfp_nir,para
A02,3.527131782945737,1.6897081413210446,8_18
A02,3.527131782945737,1.621437105308073,8_20
A02,19.27107061503417,9.28537846732487,10_1
A02,12.027334851936217,6.11189468735308,10_2
A02,7.1070615034168565,3.996238834038552,10_4
A02,5.5125284738041,3.385049365303244,10_6
A02,5.0113895216400905,2.938410907381288,10_8
A02,4.738041002277904,2.7503526093088855,10_10
A02,4.601366742596811,2.632816173013634,10_12
A02,4.419134396355353,2.515279736718383,10_14
A02,4.328018223234624,2.4212505876821817,10_16
A02,4.145785876993166,2.32722143864598,10_18
A02,4.145785876993166,2.233192289609779,10_20
A02,21.076233183856502,11.5463314820228,12_1
A02,13.153961136023916,7.600116924875768,12_2
A02,7.772795216741405,4.969307220111078,12_4
A02,6.028898854010962,4.209295527623502,12_6
A02,5.4808171400099654,3.653902367728734,12_8
A02,5.181863477827604,3.4200526161940954,12_10
A02,5.032386646736422,3.273896521484946,12_12
A02,4.833084205281515,3.1277404267757962,12_14
A02,4.733432984554061,3.010815551008477,12_16
A02,4.534130543099153,2.8938906752411575,12_18
A02,4.534130543099153,2.7769657994738384,12_20
A02,22.741935483870968,13.495046122309532,14_1
A02,14.193548387096774,8.882815169115135,14_2
A02,8.38709677419355,5.807994533652203,14_4
A02,6.505376344086021,4.91971301674069,14_6
A02,5.913978494623656,4.270584215920738,14_8
A02,5.591397849462366,3.9972668261018107,14_10
A02,5.43010752688172,3.8264434574649813,14_12
A02,5.21505376344086,3.6556200888281514,14_14
A02,5.10752688172043,3.5189613939186883,14_16
A02,4.89247311827957,3.3823026990092244,14_18
A02,4.89247311827957,3.245644004099761,14_20
A02,24.04775440591245,15.316013958898797,16_1
A02,15.008527572484365,10.081426909654905,16_2
A02,8.868675383740761,6.591702210158977,16_4
A02,6.878908470722001,5.583559519193486,16_6
A02,6.253553155201819,4.846839860411012,16_8
A02,5.912450255827174,4.536642109344707,16_10
A02,5.741898806139853,4.342768514928267,16_12
A02,5.514496873223423,4.148894920511826,16_14
A02,5.400795906765207,3.993796044978674,16_16
A02,5.1733939738487775,3.8386971694455214,16_18
A02,5.1733939738487775,3.683598293912369,16_20
A02,25.299043062200955,16.859221223791184,18_1
A02,15.789473684210526,10.911424903722722,18_2
A02,9.330143540669857,7.274283269148481,18_4
A02,7.236842105263158,6.076166024818143,18_6
A02,6.578947368421052,5.305947796320068,18_8
A02,6.220095693779904,4.963628583654257,18_10
A02,6.04066985645933,4.7496790757381255,18_12
A02,5.801435406698564,4.535729567821994,18_14
A02,5.681818181818182,4.364569961489089,18_16
A02,5.442583732057416,4.193410355156183,18_18
A02,5.442583732057416,4.0650406504065035,18_20
A02,26.587052168447517,18.37686567164179,20_1
A02,16.59333752357008,11.893656716417912,20_2
A02,9.805153991200504,7.929104477611941,20_4
A02,7.605279698302954,6.6231343283582085,20_6
A02,6.913890634820867,5.7835820895522385,20_8
A02,6.536769327467002,5.410447761194029,20_10
A02,6.34820867379007,5.177238805970149,20_12
A02,6.0967944688874915,4.9440298507462686,20_14
A02,5.971087366436204,4.757462686567164,20_16
A02,5.719673161533627,4.57089552238806,20_18
A02,5.719673161533627,4.4309701492537314,20_20
A03,0.9375629116217538,0.45552418776017994,1_1
A03,0.6672226855713094,0.30240681372314465,1_2
A03,0.3738747807080613,0.17512799655485908,1_4
A03,0.30485174426965,0.14067658739652614,1_6
A03,0.25596042679244196,0.1263218335805541,1_8
A03,0.2415806275344396,0.1167519977032394,1_10
A03,0.2329527479796382,0.10813914541365616,1_12
A03,0.22144890857323632,0.10431121106273028,1_14
A03,0.20131718961203302,0.10144026029953587,1_16
A03,0.20131718961203302,0.09856930953634147,1_18
A03,0.18406143050243018,0.09474137518541557,1_20
A03,1.6197952896750472,0.581366945136548,2_1
A03,1.1527377521613833,0.3859494845864478,2_2
A03,0.645930636986982,0.22350872050417706,2_4
A03,0.5266819040047699,0.17953979188040453,2_6
A03,0.4422140514757031,0.16121940495383263,2_8
A03,0.4173705654377422,0.14900581366945137,2_10
A03,0.4024644738149657,0.13801358151350823,2_12
A03,0.38258968498459706,0.13312814499975573,2_14
A03,0.34780880453145185,0.12946406761444135,2_16
A03,0.34780880453145185,0.12579999022912697,2_18
A03,0.31799662128589884,0.12091455371537446,2_20
A03,6.421647819063005,2.2913256955810146,4_1
A03,4.563812600969305,1.521132184461346,4_2
A03,2.5646203554119547,0.8809088283431212,4_4
A03,2.10016155088853,0.7076152883411957,4_6
A03,1.7568659127625201,0.6354096466737268,4_8
A03,1.6558966074313408,0.5872725522287475,4_10
A03,1.5953150242326333,0.5439491672282661,4_12
